,day,time of the day,kWh
0,1/1/2012,50.311800000000005,00:15:00
1,1/1/2012,49.790400000000005,00:30:00
2,1/1/2012,48.74759999999999,00:45:00
3,1/1/2012,50.572500000000005,01:00:00
4,1/1/2012,51.093900000000005,01:15:00
5,1/1/2012,52.9186,01:30:00
6,1/1/2012,51.093900000000005,01:45:00
7,1/1/2012,49.790400000000005,02:00:00
8,1/1/2012,50.572500000000005,02:15:00
9,1/1/2012,49.008300000000006,02:30:00
10,1/1/2012,48.74759999999999,02:45:00
11,1/1/2012,49.00829999999999,03:00:00
12,1/1/2012,50.311800000000005,03:15:00
13,1/1/2012,49.008300000000006,03:30:00
14,1/1/2012,49.26899999999999,03:45:00
15,1/1/2012,47.4444,04:00:00
16,1/1/2012,47.705,04:15:00
17,1/1/2012,46.662299999999995,04:30:00
18,1/1/2012,46.140899999999995,04:45:00
19,1/1/2012,44.8374,05:00:00
20,1/1/2012,47.4443,05:15:00
21,1/1/2012,47.444399999999995,05:30:00
22,1/1/2012,45.6195,05:45:00
23,1/1/2012,45.6195,06:00:00
24,1/1/2012,43.0127,06:15:00
25,1/1/2012,43.0128,06:30:00
26,1/1/2012,40.6665,06:45:00
27,1/1/2012,43.2734,07:00:00
28,1/1/2012,43.0127,07:15:00
29,1/1/2012,31.282,07:30:00
30,1/1/2012,32.3247,07:45:00
31,1/1/2012,32.8461,08:00:00
32,1/1/2012,29.7179,08:15:00
33,1/1/2012,29.9786,08:30:00
34,1/1/2012,29.9786,08:45:00
35,1/1/2012,32.5854,09:00:00
36,1/1/2012,31.021300000000004,09:15:00
37,1/1/2012,28.153800000000004,09:30:00
38,1/1/2012,29.718000000000004,09:45:00
39,1/1/2012,29.7179,10:00:00
40,1/1/2012,31.5426,10:15:00
41,1/1/2012,31.5426,10:30:00
42,1/1/2012,31.5426,10:45:00
43,1/1/2012,30.239200000000004,11:00:00
44,1/1/2012,31.2819,11:15:00
45,1/1/2012,30.7605,11:30:00
46,1/1/2012,29.9786,11:45:00
47,1/1/2012,29.9786,12:00:00
48,1/1/2012,32.8461,12:15:00
49,1/1/2012,33.8887,12:30:00
50,1/1/2012,31.8033,12:45:00
51,1/1/2012,33.1068,13:00:00
52,1/1/2012,32.064,13:15:00
53,1/1/2012,33.1068,13:30:00
54,1/1/2012,33.3675,13:45:00
55,1/1/2012,39.6238,14:00:00
56,1/1/2012,45.0981,14:15:00
57,1/1/2012,49.5298,14:30:00
58,1/1/2012,47.705,14:45:00
59,1/1/2012,49.790400000000005,15:00:00
60,1/1/2012,48.487,15:15:00
61,1/1/2012,49.5298,15:30:00
62,1/1/2012,49.0084,15:45:00
63,1/1/2012,50.3118,16:00:00
64,1/1/2012,49.529700000000005,16:15:00
65,1/1/2012,49.5297,16:30:00
66,1/1/2012,47.705,16:45:00
67,1/1/2012,49.0084,17:00:00
68,1/1/2012,51.8759,17:15:00
69,1/1/2012,49.2691,17:30:00
70,1/1/2012,49.790400000000005,17:45:00
71,1/1/2012,50.311800000000005,18:00:00
72,1/1/2012,46.140899999999995,18:15:00
73,1/1/2012,45.3588,18:30:00
74,1/1/2012,47.704899999999995,18:45:00
75,1/1/2012,49.529700000000005,19:00:00
76,1/1/2012,48.74759999999999,19:15:00
77,1/1/2012,47.4443,19:30:00
78,1/1/2012,49.00829999999999,19:45:00
79,1/1/2012,50.051100000000005,20:00:00
80,1/1/2012,49.2691,20:15:00
81,1/1/2012,49.790400000000005,20:30:00
82,1/1/2012,52.658,20:45:00
83,1/1/2012,53.7008,21:00:00
84,1/1/2012,52.3973,21:15:00
85,1/1/2012,50.833200000000005,21:30:00
86,1/1/2012,50.572500000000005,21:45:00
87,1/1/2012,49.790400000000005,22:00:00
88,1/1/2012,50.311800000000005,22:15:00
89,1/1/2012,50.3119,22:30:00
90,1/1/2012,48.747699999999995,22:45:00
91,1/1/2012,47.183699999999995,23:00:00
92,1/1/2012,52.6579,23:15:00
93,1/1/2012,49.00829999999999,23:30:00
94,1/1/2012,50.572500000000005,23:45:00
95,1/1/2012,49.790400000000005,00:00:00
96,1/2/2012,49.5297,00:15:00
97,1/2/2012,49.008300000000006,00:30:00
98,1/2/2012,47.9657,00:45:00
99,1/2/2012,50.051100000000005,01:00:00
100,1/2/2012,49.790400000000005,01:15:00
101,1/2/2012,47.705,01:30:00
102,1/2/2012,48.226299999999995,01:45:00
103,1/2/2012,48.7477,02:00:00
104,1/2/2012,47.9657,02:15:00
105,1/2/2012,46.662299999999995,02:30:00
106,1/2/2012,47.965599999999995,02:45:00
107,1/2/2012,48.747699999999995,03:00:00
108,1/2/2012,46.923,03:15:00
109,1/2/2012,44.316,03:30:00
110,1/2/2012,44.8374,03:45:00
111,1/2/2012,44.8374,04:00:00
112,1/2/2012,44.8375,04:15:00
113,1/2/2012,42.4914,04:30:00
114,1/2/2012,42.752,04:45:00
115,1/2/2012,42.752,05:00:00
116,1/2/2012,43.7947,05:15:00
117,1/2/2012,42.7521,05:30:00
118,1/2/2012,41.7093,05:45:00
119,1/2/2012,42.4913,06:00:00
120,1/2/2012,41.4486,06:15:00
121,1/2/2012,41.1879,06:30:00
122,1/2/2012,39.6237,06:45:00
123,1/2/2012,40.9272,07:00:00
124,1/2/2012,40.4059,07:15:00
125,1/2/2012,28.153800000000004,07:30:00
126,1/2/2012,31.5426,07:45:00
127,1/2/2012,31.2819,08:00:00
128,1/2/2012,30.7605,08:15:00
129,1/2/2012,29.4572,08:30:00
130,1/2/2012,30.499900000000004,08:45:00
131,1/2/2012,31.803299999999997,09:00:00
132,1/2/2012,29.4572,09:15:00
133,1/2/2012,28.414500000000004,09:30:00
134,1/2/2012,28.935900000000004,09:45:00
135,1/2/2012,30.2393,10:00:00
136,1/2/2012,31.0212,10:15:00
137,1/2/2012,31.5426,10:30:00
138,1/2/2012,31.2819,10:45:00
139,1/2/2012,29.9786,11:00:00
140,1/2/2012,32.846000000000004,11:15:00
141,1/2/2012,32.064,11:30:00
142,1/2/2012,30.239200000000004,11:45:00
143,1/2/2012,33.367399999999996,12:00:00
144,1/2/2012,32.8461,12:15:00
145,1/2/2012,32.5854,12:30:00
146,1/2/2012,33.8887,12:45:00
147,1/2/2012,32.58539999999999,13:00:00
148,1/2/2012,33.106700000000004,13:15:00
149,1/2/2012,30.760600000000004,13:30:00
150,1/2/2012,33.888799999999996,13:45:00
151,1/2/2012,43.2733,14:00:00
152,1/2/2012,48.226299999999995,14:15:00
153,1/2/2012,48.4871,14:30:00
154,1/2/2012,50.0511,14:45:00
155,1/2/2012,50.833200000000005,15:00:00
156,1/2/2012,47.444399999999995,15:15:00
157,1/2/2012,48.747699999999995,15:30:00
158,1/2/2012,48.487,15:45:00
159,1/2/2012,48.747699999999995,16:00:00
160,1/2/2012,46.923,16:15:00
161,1/2/2012,47.1837,16:30:00
162,1/2/2012,48.486999999999995,16:45:00
163,1/2/2012,49.269,17:00:00
164,1/2/2012,52.397200000000005,17:15:00
165,1/2/2012,49.5297,17:30:00
166,1/2/2012,51.093900000000005,17:45:00
167,1/2/2012,50.311800000000005,18:00:00
168,1/2/2012,51.354600000000005,18:15:00
169,1/2/2012,52.136700000000005,18:30:00
170,1/2/2012,51.876000000000005,18:45:00
171,1/2/2012,53.96130000000001,19:00:00
172,1/2/2012,52.1366,19:15:00
173,1/2/2012,50.572500000000005,19:30:00
174,1/2/2012,49.790400000000005,19:45:00
175,1/2/2012,49.790400000000005,20:00:00
176,1/2/2012,49.269000000000005,20:15:00
177,1/2/2012,47.9657,20:30:00
178,1/2/2012,49.790400000000005,20:45:00
179,1/2/2012,53.440000000000005,21:00:00
180,1/2/2012,50.833200000000005,21:15:00
181,1/2/2012,47.9657,21:30:00
182,1/2/2012,47.704899999999995,21:45:00
183,1/2/2012,47.705,22:00:00
184,1/2/2012,45.6195,22:15:00
185,1/2/2012,46.1409,22:30:00
186,1/2/2012,45.6195,22:45:00
187,1/2/2012,45.3588,23:00:00
188,1/2/2012,50.051100000000005,23:15:00
189,1/2/2012,51.093900000000005,23:30:00
190,1/2/2012,52.9186,23:45:00
191,1/2/2012,53.179300000000005,00:00:00
192,1/3/2012,50.833200000000005,00:15:00
193,1/3/2012,50.311800000000005,00:30:00
194,1/3/2012,50.572500000000005,00:45:00
195,1/3/2012,50.311800000000005,01:00:00
196,1/3/2012,51.093900000000005,01:15:00
